https://www.strikkemekka.no/Drops-Karisma|01 - NATURHVIT UNI|94
https://www.strikkemekka.no/Drops-Karisma|04 - SJOKOLADEBRUN UNI|33
https://www.strikkemekka.no/Drops-Karisma|05 - SORT UNI|60
https://www.strikkemekka.no/Drops-Karisma|07 - KORNBLÅ UNI|60
https://www.strikkemekka.no/Drops-Karisma|11 - ORANGE UNI|40
https://www.strikkemekka.no/Drops-Karisma|13 - CERISE UNI|31
https://www.strikkemekka.no/Drops-Karisma|16 - MØRK GRÅ MIX|100
https://www.strikkemekka.no/Drops-Karisma|17 - MARINEBLÅ UNI|101
https://www.strikkemekka.no/Drops-Karisma|18 - RØD UNI|60
https://www.strikkemekka.no/Drops-Karisma|19 - HVIT UNI|45
https://www.strikkemekka.no/Drops-Karisma|21 - MELLOMGRÅ MIX|39
https://www.strikkemekka.no/Drops-Karisma|30 - LYS JEANSBLÅ UNI|345
https://www.strikkemekka.no/Drops-Karisma|33 - MELLOMROSA UNI|20
https://www.strikkemekka.no/Drops-Karisma|37 - MØRK BLÅGRØNN UNI|18
https://www.strikkemekka.no/Drops-Karisma|39 - MØRK GAMMELROSA UNI|117
https://www.strikkemekka.no/Drops-Karisma|40 - LYS GAMMELROSA UNI|41
https://www.strikkemekka.no/Drops-Karisma|44 - LYS GRÅ MIX|53
https://www.strikkemekka.no/Drops-Karisma|45 - LYS OLIVEN UNI|201
https://www.strikkemekka.no/Drops-Karisma|47 - SKOGSGRØNN UNI|65
https://www.strikkemekka.no/Drops-Karisma|48 - VINRØD UNI|95
https://www.strikkemekka.no/Drops-Karisma|50 - GRØNN MIX|32
https://www.strikkemekka.no/Drops-Karisma|52 - SENNEPSGUL UNI|148
https://www.strikkemekka.no/Drops-Karisma|53 - KOKSGRÅ MIX|277
https://www.strikkemekka.no/Drops-Karisma|54 - BEIGE MELERT MIX|27
https://www.strikkemekka.no/Drops-Karisma|55 - LYS BRUNMELERT MIX|70
https://www.strikkemekka.no/Drops-Karisma|56 - MØRK BRUN MIX|36
https://www.strikkemekka.no/Drops-Karisma|57 - OLIVEN UNI|36
https://www.strikkemekka.no/Drops-Karisma|60 - BLÅ TURKIS UNI|77
https://www.strikkemekka.no/Drops-Karisma|64 - GRÅLILLA UNI|4
https://www.strikkemekka.no/Drops-Karisma|65 - JEANSBLÅ UNI|60
https://www.strikkemekka.no/Drops-Karisma|66 - LYS STØVROSA UNI|25
https://www.strikkemekka.no/Drops-Karisma|68 - LYS HIMMELBLÅ UNI|124
https://www.strikkemekka.no/Drops-Karisma|69 - LYS GRÅGRØNN UNI|39
https://www.strikkemekka.no/Drops-Karisma|70 - LYS BLÅGRÅ UNI|52
https://www.strikkemekka.no/Drops-Karisma|71 - SØLVROSA UNI|172
https://www.strikkemekka.no/Drops-Karisma|72 - LYS PERLEGRÅ MIX|90
https://www.strikkemekka.no/Drops-Karisma|73 - PETROL MIX|30
https://www.strikkemekka.no/Drops-Karisma|74 - LAVENDEL MIX|9
https://www.strikkemekka.no/Drops-Karisma|75 - PETROL CERISE MIX|59
https://www.strikkemekka.no/Drops-Karisma|76 - MØRK LILLA UNI|13
https://www.strikkemekka.no/Drops-Karisma|78 - KORALL UNI|25
https://www.strikkemekka.no/Drops-Karisma|77 - LYS EIK MIX|31
